X1,X2,X3,X4,X5,X6,X7,X8
22.89827777,23.60883483,22.15390038,23.54125119,25.09429511,24.24336678,23.99561078,22.93442491
24.6176464,25.36429444,23.14265718,24.09709338,24.00392438,24.32017988,23.69645337,21.70803843
24.83105242,24.49449072,25.21320845,21.9920176,23.30995564,24.56438475,25.04201154,24.31364789
24.33254919,23.8240527,22.98854194,22.41164099,23.14878135,24.11847096,23.64367644,24.29663274
24.19511472,22.82647771,25.38335818,24.29625603,23.2103134,22.35710405,25.04141536,24.14621464
22.48619555,24.34726345,24.2444684,24.72190769,23.99276124,23.27323825,24.48789998,23.33640502
24.61103665,22.58367773,24.23000125,23.48879222,24.52315372,24.37440059,24.69206617,23.84465353
24.73953715,23.06370822,24.5181545,22.8786265,22.93037093,23.07025576,23.52757375,23.61049289
24.78888825,24.44618509,23.83287953,22.48998341,23.63964838,24.25139698,23.64995959,22.95305664
23.5979093,22.47022846,24.11558859,23.86832854,25.07926462,22.731712,22.92785836,24.03306259
23.09777998,23.30546619,23.58716953,23.79483327,24.56499821,23.77965763,23.26474493,23.24213871
24.45672787,24.19661725,23.7603632,23.96286356,24.89276245,24.08163779,25.27133972,23.12619933
24.0644075,25.04037681,23.72315763,23.37439252,23.22502766,23.38799911,24.16670315,24.98892961
23.40497364,25.20660043,26.05111428,24.79328611,23.66424875,23.6698165,24.62121135,25.72537184
23.67198778,23.72725395,22.270785,24.23201096,25.07592778,23.9586722,22.99373297,24.2600726
24.06983528,24.92460505,24.25244158,23.31607808,25.3073728,23.71269349,23.37927596,22.38982621
24.24098122,24.20890707,25.03874554,23.82679856,23.82799263,24.50720564,22.40009768,23.6975861
24.39948482,23.14441287,24.51493171,24.98676437,24.88195702,23.15344706,22.72558437,23.09187009
24.29080666,23.42846634,23.7009817,24.26581229,25.51676977,24.94985171,23.62796078,23.94317513
23.32982464,23.66238938,23.41166461,23.12235962,24.4980885,23.96332926,24.51208303,23.0658147
23.26120763,23.43200883,23.30564245,23.07843285,22.71430027,24.50184267,23.72371666,23.97066134
23.5979093,22.47022846,24.11558859,23.86832854,25.07926462,22.731712,22.92785836,24.03306259
24.10184376,23.48653021,24.11953025,24.43018863,24.27212654,24.0222416,23.51737486,23.30555432
24.7008256,23.57212867,22.69770072,24.51259367,24.54857405,22.52706023,23.79139448,24.80338132
24.73953715,23.06370822,24.5181545,22.8786265,22.93037093,23.07025576,23.52757375,23.61049289
23.40497364,25.20660043,26.05111428,24.79328611,23.66424875,23.6698165,24.62121135,25.72537184
24.19511472,22.82647771,25.38335818,24.29625603,23.2103134,22.35710405,25.04141536,24.14621464
24.46989035,24.20993439,23.36644526,24.61272494,23.06321227,24.00345954,24.75566668,23.48762579
23.32982464,23.66238938,23.41166461,23.12235962,24.4980885,23.96332926,24.51208303,23.0658147
24.45672787,24.19661725,23.7603632,23.96286356,23.46722628,23.10630959,23.64542867,24.32839498
24.05461038,23.790006,23.62789511,23.40647272,23.26064947,24.49974742,22.8411937,22.88989678
23.29641299,25.44433725,23.18162102,23.66585065,22.85386023,25.01456681,23.77959715,23.69342844
24.29813873,23.46722628,23.10630959,23.64542867,24.32839498,24.48897223,23.31188413,23.5212811
24.84525691,23.68445127,25.79969138,24.25945656,22.79196184,25.837335,24.03317837,23.37226876
22.98826027,26.36108317,24.77019604,24.06586597,24.01386666,23.6984674,24.62080526,22.76160364